Time [s]	Main in [V]	LI out [a.u.]
0.0000E+0	8.9428E-1	-3.2000E+1
5.0000E-5	8.9506E-1	3.1000E+1
1.0000E-4	8.9516E-1	-4.0000E+0
1.5000E-4	8.9438E-1	6.2000E+1
2.0000E-4	8.9443E-1	-4.0000E+0
2.5000E-4	8.9307E-1	-5.0000E+0
3.0000E-4	8.9462E-1	-4.5000E+1
3.5000E-4	8.9462E-1	-1.3000E+1
4.0000E-4	8.9520E-1	2.4000E+1
4.5000E-4	8.9482E-1	-4.0000E+1
5.0000E-4	8.9472E-1	-4.0000E+0
5.5000E-4	8.9336E-1	3.1000E+1
6.0000E-4	8.9365E-1	-9.0000E+0
6.5000E-4	8.9307E-1	7.0000E+0
7.0000E-4	8.9477E-1	-1.4000E+1
7.5000E-4	8.9559E-1	3.9000E+1
8.0000E-4	8.9467E-1	-9.0000E+0
8.5000E-4	8.9370E-1	-1.0000E+0
9.0000E-4	8.9409E-1	2.7000E+1
9.5000E-4	8.9516E-1	0.0000E+0
1.0000E-3	8.9506E-1	-4.1000E+1
1.0500E-3	8.9511E-1	2.9000E+1
1.1000E-3	8.9331E-1	2.0000E+0
1.1500E-3	8.9452E-1	4.9000E+1
1.2000E-3	8.9370E-1	-1.2000E+1
1.2500E-3	8.9423E-1	-6.0000E+0
1.3000E-3	8.9389E-1	-3.6000E+1
1.3500E-3	8.9312E-1	-2.5000E+1
1.4000E-3	8.9535E-1	4.6000E+1
1.4500E-3	8.9326E-1	-5.0000E+1
1.5000E-3	8.9642E-1	5.4000E+1
1.5500E-3	8.9418E-1	3.7000E+1
1.6000E-3	8.9341E-1	-3.1000E+1
1.6500E-3	8.9618E-1	-2.3000E+1
1.7000E-3	8.9307E-1	1.9000E+1
1.7500E-3	8.9418E-1	-3.8000E+1
1.8000E-3	8.9375E-1	2.0000E+1
1.8500E-3	8.9433E-1	7.0000E+0
1.9000E-3	8.9307E-1	-1.9000E+1
1.9500E-3	8.9462E-1	2.6000E+1
2.0000E-3	8.9321E-1	2.8000E+1
2.0500E-3	8.9530E-1	-6.0000E+0
2.1000E-3	8.9491E-1	-1.2000E+1
2.1500E-3	8.9433E-1	-2.2000E+1
2.2000E-3	8.9312E-1	-2.3000E+1
2.2500E-3	8.9302E-1	-3.0000E+0
2.3000E-3	8.9472E-1	-9.0000E+0
2.3500E-3	8.9569E-1	4.8000E+1
2.4000E-3	8.9418E-1	-5.3000E+1
2.4500E-3	8.9414E-1	-1.6000E+1
2.5000E-3	8.9652E-1	7.9000E+1
2.5500E-3	8.9550E-1	8.0000E+0
2.6000E-3	8.9511E-1	-7.0000E+0
2.6500E-3	8.9511E-1	2.4000E+1
2.7000E-3	8.9312E-1	1.0000E+1
2.7500E-3	8.9384E-1	-7.0000E+0
2.8000E-3	8.9608E-1	1.7000E+1
2.8500E-3	8.9472E-1	1.1000E+1
2.9000E-3	8.9336E-1	-3.5000E+1
2.9500E-3	8.9467E-1	8.0000E+0
3.0000E-3	8.9394E-1	-1.0000E+1
3.0500E-3	8.9588E-1	-1.6000E+1
3.1000E-3	8.9409E-1	-5.5000E+1
3.1500E-3	8.9452E-1	8.0000E+0
3.2000E-3	8.9491E-1	2.7000E+1
3.2500E-3	8.9229E-1	-6.0000E+1
3.3000E-3	8.9496E-1	-1.4000E+1
3.3500E-3	8.9535E-1	-3.7000E+1
3.4000E-3	8.9554E-1	8.0000E+0
3.4500E-3	8.9418E-1	4.0000E+0
3.5000E-3	8.9331E-1	-1.9000E+1
3.5500E-3	8.9180E-1	1.6000E+1
3.6000E-3	8.9205E-1	-5.0000E+0
3.6500E-3	8.9360E-1	-7.9000E+1
3.7000E-3	8.9248E-1	-5.3000E+1
3.7500E-3	8.9326E-1	-2.1000E+1
3.8000E-3	8.9287E-1	-3.0000E+0
3.8500E-3	8.9569E-1	-4.6000E+1
3.9000E-3	8.9423E-1	-2.0000E+1
3.9500E-3	8.9263E-1	1.0000E+0
4.0000E-3	8.9156E-1	4.0000E+0
4.0500E-3	8.9214E-1	2.5000E+1
4.1000E-3	8.9064E-1	1.3000E+1
4.1500E-3	8.9331E-1	-3.0000E+0
4.2000E-3	8.9229E-1	3.0000E+0
4.2500E-3	8.9175E-1	-1.4000E+1
4.3000E-3	8.9200E-1	1.7000E+1
4.3500E-3	8.9093E-1	-3.6000E+1
4.4000E-3	8.9156E-1	-3.6000E+1
4.4500E-3	8.9195E-1	-2.6000E+1
4.5000E-3	8.8903E-1	0.0000E+0
4.5500E-3	8.9059E-1	5.0000E+0
4.6000E-3	8.8850E-1	-1.7000E+1
4.6500E-3	8.8947E-1	-4.0000E+0
4.7000E-3	8.8947E-1	-4.8000E+1
4.7500E-3	8.9112E-1	3.0000E+0
4.8000E-3	8.8918E-1	-3.7000E+1
4.8500E-3	8.8869E-1	1.8000E+1
4.9000E-3	8.8695E-1	-2.9000E+1
4.9500E-3	8.8782E-1	3.4000E+1
5.0000E-3	8.8738E-1	-5.2000E+1
5.0500E-3	8.8622E-1	3.1000E+1
5.1000E-3	8.8865E-1	-2.0000E+1
5.1500E-3	8.8626E-1	5.0000E+1
5.2000E-3	8.8592E-1	-1.6000E+1
5.2500E-3	8.8626E-1	-2.0000E+1
5.3000E-3	8.8520E-1	5.9000E+1
5.3500E-3	8.8505E-1	1.2000E+1
5.4000E-3	8.8646E-1	2.2000E+1
5.4500E-3	8.8427E-1	1.7000E+1
5.5000E-3	8.8286E-1	5.0000E+0
5.5500E-3	8.8490E-1	-6.1000E+1
5.6000E-3	8.8490E-1	4.0000E+0
5.6500E-3	8.8180E-1	4.3000E+1
5.7000E-3	8.8345E-1	-1.0000E+1
5.7500E-3	8.8471E-1	4.0000E+0
5.8000E-3	8.8155E-1	-4.2000E+1
5.8500E-3	8.8160E-1	-2.2000E+1
5.9000E-3	8.8199E-1	5.1000E+1
5.9500E-3	8.8150E-1	2.7000E+1
6.0000E-3	8.8165E-1	-1.0600E+2
6.0500E-3	8.8063E-1	-9.0000E+0
6.1000E-3	8.7975E-1	-5.1000E+1
6.1500E-3	8.8160E-1	-5.1000E+1
6.2000E-3	8.7859E-1	-3.4000E+1
6.2500E-3	8.7966E-1	-6.0000E+1
6.3000E-3	8.7718E-1	-2.9000E+1
6.3500E-3	8.7762E-1	1.4000E+1
6.4000E-3	8.7796E-1	2.9000E+1
6.4500E-3	8.7563E-1	-1.1000E+1
6.5000E-3	8.7616E-1	-2.1000E+1
6.5500E-3	8.7572E-1	6.0000E+0
6.6000E-3	8.7504E-1	-6.3000E+1
6.6500E-3	8.7286E-1	-3.1000E+1
6.7000E-3	8.7276E-1	-1.7000E+1
6.7500E-3	8.7363E-1	6.1000E+1
6.8000E-3	8.7266E-1	-9.3000E+1
6.8500E-3	8.7208E-1	-2.6000E+1
6.9000E-3	8.7106E-1	-7.2000E+1
6.9500E-3	8.7184E-1	-4.2000E+1
7.0000E-3	8.6999E-1	-4.5000E+1
7.0500E-3	8.6994E-1	-4.3000E+1
7.1000E-3	8.6950E-1	-4.8000E+1
7.1500E-3	8.6771E-1	-1.8000E+1
